"","term","obama","romney","total","attr_importance","max","belong"
"121","ago",231,2,233,0.0453467044511802,231,"obama"
"1747","ellenpage",0,215,215,0.0449960498944901,215,"romney"
"5131","period",0,212,212,0.0441315696274693,212,"romney"
"5654","reppaulryan",10,245,255,0.0410547054869559,245,"romney"
"4455","michelleobama",212,3,215,0.0403747887320136,212,"obama"
"4025","lady",3,212,215,0.0402969406534297,212,"romney"
"2121","forward",230,25,255,0.0287654398624217,230,"obama"
"1717","elected",187,12,199,0.0280734650608581,187,"obama"
"6819","tuesday",25,225,250,0.0279502180514408,225,"romney"
"1716","elect",9,162,171,0.0250539899262956,162,"romney"
"911","cher",1,112,113,0.0215957582544604,112,"romney"
"3923","kathygriffin",1,106,107,0.0203563459803104,106,"romney"
"4023","ladies",0,98,98,0.0201471898194134,98,"romney"
"3154","httpcoqielks",0,97,97,0.0199386143603144,97,"romney"
"4227","lookout",0,97,97,0.0199386143603144,97,"romney"
"4595","morrowchris",0,97,97,0.0199386143603144,97,"romney"
"7014","via",17,152,169,0.0186699723725403,152,"romney"
"7349","youtube",5,104,109,0.0164471147023706,104,"romney"
"278","argument",5,100,105,0.0156689035726481,100,"romney"
"5818","romneyryan",23,146,169,0.0148779111325952,146,"romney"
"6538","tcot",37,175,212,0.014840301017192,175,"romney"
"1121","confirm",69,0,69,0.0141488201913378,69,"obama"
"5091","paulryanvp",4,86,90,0.0136525397649141,86,"romney"
"1360","days",203,57,260,0.0135267256876337,203,"obama"
"1779","endorses",8,95,103,0.0128735948618908,95,"romney"
"5374","progress",62,0,62,0.0127001906784285,62,"obama"
"4459","middle",93,5,98,0.0126190392423304,93,"obama"
"5743","rights",12,104,116,0.0124771652011757,104,"romney"
"986","class",92,6,98,0.0124282898560657,92,"obama"
"122","agree",12,103,115,0.0123010350943131,103,"romney"
"5872","ryangop",0,59,59,0.0120590162797254,59,"romney"
"473","believe",87,10,97,0.0109281266867192,87,"obama"
"2019","fighting",77,6,83,0.010695106527334,77,"obama"
"2457","hard",66,3,69,0.0105134232957556,66,"obama"
"4209","location",50,0,50,0.0102238541413164,50,"obama"
"1946","families",48,0,48,0.00981199077194028,48,"obama"
"6860","typical",54,1,55,0.00978539225802999,54,"obama"
"6508","taking",53,1,54,0.00958466308894024,53,"obama"
"2018","fight",61,3,64,0.0093554732011869,61,"obama"
"2492","health",56,2,58,0.00931426079523678,56,"obama"
"933","choice",103,16,119,0.00899732588416602,103,"obama"
"1574","don",45,0,45,0.00898899791710028,45,"obama"
"1704","education",56,3,59,0.00820814020815308,56,"obama"
"5544","realdonaldtrump",5,60,65,0.00810559863110116,60,"romney"
"5830","rooting",3,53,56,0.0080000704390959,53,"romney"
"968","cincy",39,0,39,0.00796162976623349,39,"obama"
"774","candidate",67,8,75,0.0078759460890292,67,"obama"
"4392","mean",85,6,91,0.00775633881530546,85,"obama"
"3173","httpcoqwqgwi",37,0,37,0.00755110866985387,37,"obama"
"4743","nhfinalpush",37,0,37,0.00755110866985387,37,"obama"
"194","america",84,125,209,0,125,"both"
"7082","voting",126,70,196,0,126,"both"
"5123","people",71,70,141,0,71,"both"
"7211","win",42,88,130,0,88,"both"
"766","campaign",44,75,119,0,75,"both"
"4892","ohio",66,51,117,0,66,"both"
"1260","crowd",45,57,102,0,57,"both"
"5208","please",38,61,99,0,61,"both"
"6675","time",42,51,93,0,51,"both"
"7063","voted",35,50,85,0,50,"both"
"3825","jobs",43,35,78,0,43,"both"
"199","americans",19,57,76,0,57,"both"
"6530","tax",42,34,76,0,42,"both"
"7078","voters",51,23,74,0,51,"both"
"2302","gop",14,57,71,0,57,"both"
"7246","women",50,18,68,0,50,"both"
"7024","video",17,46,63,0,46,"both"
"675","bring",44,18,62,0,44,"both"
"6564","tell",43,19,62,0,43,"both"
"2514","help",25,35,60,0,35,"both"
"4686","nation",20,39,59,0,39,"both"
"2600","hope",28,25,53,0,28,"both"
"6593","thank",19,33,52,0,33,"both"
"2025","final",40,11,51,0,40,"both"
"5543","real",10,39,49,0,39,"both"
"6957","usa",15,34,49,0,34,"both"
"4566","money",15,32,47,0,32,"both"
"2247","getting",28,18,46,0,28,"both"
"2189","future",30,15,45,0,30,"both"
"5059","party",10,33,43,0,33,"both"
"7111","war",34,9,43,0,34,"both"
"4181","live",29,13,42,0,29,"both"
"7127","washington",29,13,42,0,29,"both"
"5092","pay",21,20,41,0,21,"both"
"7225","wisconsin",26,15,41,0,26,"both"
"484","benghazi",30,10,40,0,30,"both"
"663","breaking",19,21,40,0,21,"both"
"5711","revenge",18,22,40,0,22,"both"
"5906","sandy",14,26,40,0,26,"both"
"4072","leadership",8,31,39,0,31,"both"
"4225","look",10,29,39,0,29,"both"
"1010","clinton",30,8,38,0,30,"both"
"5538","ready",23,15,38,0,23,"both"
"7190","white",26,12,38,0,26,"both"
"2074","florida",31,6,37,0,31,"both"
"2279","god",7,30,37,0,30,"both"
"5198","plans",7,30,37,0,30,"both"
"1071","coming",16,19,35,0,19,"both"
"2039","fired",24,11,35,0,24,"both"
"2529","hey",13,22,35,0,22,"both"
