"","term","obama","romney","total","attr_importance","max","belong"
"670","bitch",1,210,211,0.0440709718838836,210,"romney"
"526","basic",0,202,202,0.0440012741668081,202,"romney"
"6780","sandyshurricane",1,133,134,0.0270660809244807,133,"romney"
"2779","gop",17,160,177,0.019883128714782,160,"romney"
"6691","romneyryan",24,162,186,0.0179682120137246,162,"romney"
"605","benghazi",193,40,233,0.0163217431619291,193,"obama"
"214","america",38,170,208,0.014737023077094,170,"romney"
"141","ahurricanesandy",0,65,65,0.0138561764439931,65,"romney"
"6114","politicspr",0,63,63,0.0134256789381928,63,"romney"
"5964","paulryanvp",11,100,111,0.0127846944533838,100,"romney"
"1624","deanstjames",0,59,59,0.0125654851199506,59,"romney"
"2128","endorsement",11,89,100,0.0105897766813621,89,"romney"
"5727","ohio",20,111,131,0.0105680974533335,111,"romney"
"1879","dmregister",3,67,70,0.0105386768244287,67,"romney"
"2020","eastern",49,0,49,0.0103626952917222,49,"obama"
"4344","instructions",49,0,49,0.0103626952917222,49,"obama"
"6847","seaboard",49,0,49,0.0103626952917222,49,"obama"
"5717","officials",48,0,48,0.0101496518224713,48,"obama"
"41","accomplishment",46,0,46,0.00972376178409529,46,"obama"
"3008","highlights",45,0,45,0.00951091513083546,45,"obama"
"4085","httpcoytafach",45,0,45,0.00951091513083546,45,"obama"
"7365","stunning",45,0,45,0.00951091513083546,45,"obama"
"4468","jeep",4,73,77,0.0094525476988101,73,"romney"
"4383","iowa",5,66,71,0.00941594212327712,66,"romney"
"6742","ryanlyk",0,43,43,0.00913534202958699,43,"romney"
"5526","newspaper",1,48,49,0.00892995867248358,48,"romney"
"7793","track",0,40,40,0.00849407473161179,40,"romney"
"8092","victim",0,40,40,0.00849407473161179,40,"romney"
"6753","safe",54,3,57,0.00848302857001659,54,"obama"
"6117","poll",20,96,116,0.00845745356258121,96,"romney"
"3055","homeless",0,39,39,0.0082804506477594,39,"romney"
"2444","flashback",0,38,38,0.00806689233463675,38,"romney"
"2530","forward",99,22,121,0.00804233716273561,99,"obama"
"4927","location",38,0,38,0.00802282080647898,38,"obama"
"8159","voting",138,38,176,0.00802282080647898,138,"obama"
"4121","httpcozpcvg",0,37,37,0.00785339975010291,37,"romney"
"1071","chairman",1,42,43,0.00768652909161749,42,"romney"
"2564","free",59,6,65,0.00766523567001665,59,"obama"
"2146","enquirer",0,36,36,0.00763997285205997,36,"romney"
"5954","patriots",1,41,42,0.00748006854027139,41,"romney"
"1910","donate",3,46,49,0.00746581258805579,46,"romney"
"755","booing",35,0,35,0.0073860453578094,35,"obama"
"5810","orleans",35,0,35,0.0073860453578094,35,"obama"
"7841","triggers",35,0,35,0.0073860453578094,35,"obama"
"6469","reelection",54,5,59,0.00726822020123108,54,"obama"
"4926","local",51,4,55,0.00726761179037561,51,"obama"
"1169","chrysler",0,35,35,0.00721331594726005,35,"romney"
"5006","lynxc",0,34,34,0.00721331594726005,34,"romney"
"6468","reelecting",34,0,34,0.00717391713741589,34,"obama"
"2371","fema",4,50,54,0.00713137545200881,50,"romney"
"235","amp",145,165,310,0,165,"both"
"2131","endorses",93,139,232,0,139,"both"
"6774","sandy",75,93,168,0,93,"both"
"6085","please",90,62,152,0,90,"both"
"2074","election",47,93,140,0,93,"both"
"2982","help",77,56,133,0,77,"both"
"4237","imagine",82,50,132,0,82,"both"
"4177","hurricane",46,66,112,0,66,"both"
"7706","time",64,47,111,0,64,"both"
"6256","promised",58,44,102,0,58,"both"
"8089","via",49,53,102,0,53,"both"
"1601","days",65,35,100,0,65,"both"
"1433","country",57,41,98,0,57,"both"
"8313","win",61,36,97,0,61,"both"
"7415","support",52,39,91,0,52,"both"
"6511","remember",27,63,90,0,63,"both"
"3740","httpcoqnuazgd",50,39,89,0,50,"both"
"974","cantaffordmore",32,53,85,0,53,"both"
"943","call",25,56,81,0,56,"both"
"5993","people",46,34,80,0,46,"both"
"2546","foxnews",51,28,79,0,51,"both"
"3000","hey",24,55,79,0,55,"both"
"1834","disaster",36,36,72,0,36,"both"
"2127","endorsed",18,53,71,0,53,"both"
"1630","debate",18,49,67,0,49,"both"
"6503","relief",32,35,67,0,35,"both"
"222","americans",45,21,66,0,45,"both"
"8351","women",30,35,65,0,35,"both"
"1237","cnn",47,16,63,0,47,"both"
"7899","tweet",15,46,61,0,46,"both"
"5189","message",40,20,60,0,40,"both"
"948","calls",47,12,59,0,47,"both"
"954","campaign",21,38,59,0,38,"both"
"5523","news",15,44,59,0,44,"both"
"6063","plan",20,38,58,0,38,"both"
"6412","real",32,26,58,0,32,"both"
"8156","voters",41,17,58,0,41,"both"
"7572","tell",43,12,55,0,43,"both"
"4516","jobs",23,31,54,0,31,"both"
"1084","change",17,35,52,0,35,"both"
"2464","florida",33,19,52,0,33,"both"
"2033","economy",24,26,50,0,26,"both"
"8138","voted",37,12,49,0,37,"both"
"2750","god",21,24,45,0,24,"both"
"3075","hope",19,26,45,0,26,"both"
"6448","red",30,15,45,0,30,"both"
"1600","day",21,23,44,0,23,"both"
"2398","final",27,17,44,0,27,"both"
"7606","thank",22,22,44,0,22,"both"
"2988","herald",24,19,43,0,24,"both"
