"","term","obama","romney","total","attr_importance","max","belong"
"1634","deanstjames",1,102,103,0.0204753802376036,102,"romney"
"2393","fema",13,149,162,0.020415534747805,149,"romney"
"6079","poll",5,112,117,0.018910414597781,112,"romney"
"4431","jeep",3,105,108,0.0182420362614208,105,"romney"
"5701","ohio",23,168,191,0.016040810272717,168,"romney"
"6456","realstaceydash",0,70,70,0.0150116033399024,70,"romney"
"4871","live",70,1,71,0.0134040821720092,70,"obama"
"3738","httpcoqzkdmpq",61,0,61,0.0128734596700042,61,"obama"
"3844","httpcotqjmihab",61,0,61,0.0128734596700042,61,"obama"
"655","bitch",3,75,78,0.012845629293551,75,"romney"
"3112","httpcoarjohml",58,0,58,0.0122346862996205,58,"obama"
"3232","httpcodlbbsac",58,0,58,0.0122346862996205,58,"obama"
"590","benghazi",160,39,199,0.0119896631061074,160,"obama"
"2549","forward",128,25,153,0.0117119520504678,128,"obama"
"2741","godspeed",0,53,53,0.0113360303398236,53,"romney"
"6571","reppaulryan",38,148,186,0.0111392000529715,148,"romney"
"4831","life",77,6,83,0.0109894984226855,77,"obama"
"1048","chairman",0,51,51,0.0109048847665447,51,"romney"
"6798","ryanlyk",0,51,51,0.0109048847665447,51,"romney"
"6737","romneyryan",11,87,98,0.010491188228543,87,"romney"
"7018","sharing",64,3,67,0.0104149891167746,64,"obama"
"5903","paulryanvp",12,86,98,0.00986503970249974,86,"romney"
"2599","friends",70,6,76,0.0096623051625595,70,"obama"
"521","basic",2,55,57,0.00954597774876276,55,"romney"
"3066","hoursofhell",70,11,81,0.00947427179609339,70,"obama"
"8388","worth",65,5,70,0.00929361250811778,65,"obama"
"6794","ryan",6,66,72,0.00891042414885224,66,"romney"
"5695","officials",42,0,42,0.0088378587951059,42,"obama"
"2504","follow",63,6,69,0.00872412456018079,63,"obama"
"4299","instructions",41,0,41,0.00862611188607065,41,"obama"
"4895","local",41,0,41,0.00862611188607065,41,"obama"
"5340","mormon",0,43,43,0.00853835040112405,43,"romney"
"2026","eastern",40,0,40,0.00841442999849296,40,"obama"
"6911","seaboard",40,0,40,0.00841442999849296,40,"obama"
"7804","tour",40,0,40,0.00841442999849296,40,"obama"
"232","americaforward",39,0,39,0.0082028130908518,39,"obama"
"538","bbcbreaking",39,0,39,0.0082028130908518,39,"obama"
"4898","location",38,0,38,0.00799126112166726,38,"obama"
"1922","donate",6,60,66,0.00797032083589544,60,"romney"
"7554","tax",7,61,68,0.00778382765137531,61,"romney"
"5291","mngop",0,35,35,0.00746530913259846,35,"romney"
"4826","lie",1,41,42,0.00731639610932144,41,"romney"
"1487","crnc",0,34,34,0.00725089936665602,34,"romney"
"5290","mncrs",0,68,68,0.00725089936665602,68,"romney"
"6847","sandyshurricane",0,34,34,0.00725089936665602,34,"romney"
"8359","women",90,20,110,0.00707105546568076,90,"obama"
"5371","moving",91,22,113,0.00706672159455812,91,"obama"
"2413","fighting",6,55,61,0.00704344114111266,55,"romney"
"5368","movie",0,33,33,0.00703655566423778,33,"romney"
"2759","gop",22,90,112,0.00698822073724381,90,"romney"
"8146","vote",162,136,298,0,162,"both"
"4142","hurricane",136,101,237,0,136,"both"
"2079","election",111,118,229,0,118,"both"
"7563","tcot",85,139,224,0,139,"both"
"229","america",81,116,197,0,116,"both"
"7459","support",52,111,163,0,111,"both"
"5933","people",69,75,144,0,75,"both"
"6031","please",76,63,139,0,76,"both"
"5268","mitt",51,85,136,0,85,"both"
"915","campaign",59,65,124,0,65,"both"
"5624","obama",81,35,116,0,81,"both"
"7730","time",70,43,113,0,70,"both"
"8086","via",46,64,110,0,64,"both"
"2971","help",53,55,108,0,55,"both"
"8147","voted",46,41,87,0,46,"both"
"237","americans",57,29,86,0,57,"both"
"1431","country",54,29,83,0,54,"both"
"7627","thank",43,35,78,0,43,"both"
"1607","day",57,19,76,0,57,"both"
"1140","chrysler",29,46,75,0,46,"both"
"7371","storm",41,32,73,0,41,"both"
"900","call",32,39,71,0,39,"both"
"4492","jobs",17,54,71,0,54,"both"
"8325","win",30,40,70,0,40,"both"
"6481","red",28,41,69,0,41,"both"
"4912","look",46,21,67,0,46,"both"
"235","american",45,21,66,0,45,"both"
"7362","stop",23,41,64,0,41,"both"
"2480","florida",37,24,61,0,37,"both"
"7595","tell",31,30,61,0,31,"both"
"1490","cross",25,35,60,0,35,"both"
"2066","efforts",27,31,58,0,31,"both"
"2986","hey",20,38,58,0,38,"both"
"5888","path",32,26,58,0,32,"both"
"8098","video",25,33,58,0,33,"both"
"964","care",41,15,56,0,41,"both"
"8031","usa",30,26,56,0,30,"both"
"1056","change",25,30,55,0,30,"both"
"778","breaking",12,42,54,0,42,"both"
"8036","using",21,33,54,0,33,"both"
"4496","joebiden",37,14,51,0,37,"both"
"6544","remember",13,38,51,0,38,"both"
"8160","voters",27,24,51,0,27,"both"
"8267","week",38,13,51,0,38,"both"
"4943","love",33,16,49,0,33,"both"
"8240","watch",21,27,48,0,27,"both"
"4859","lissmith",9,38,47,0,38,"both"
"7652","thehill",19,28,47,0,28,"both"
"2141","endorses",26,20,46,0,26,"both"
"4752","lead",8,38,46,0,38,"both"
