"","term","obama","romney","total","attr_importance","max","belong"
"626","biden",158,5,163,0.0275363605467676,158,"obama"
"6471","romneyryan",14,155,169,0.0213263264256731,155,"romney"
"7919","voting",253,56,309,0.0204355988414673,253,"obama"
"6304","represent",15,194,209,0.0203647348341749,194,"romney"
"5671","paulryanvp",3,104,107,0.0187908892583963,104,"romney"
"5641","party",6,107,113,0.0170933194457623,107,"romney"
"8096","won",3,94,97,0.0167051401221161,94,"romney"
"6186","reason",113,8,121,0.0166587950397585,113,"obama"
"2529","forward",144,22,166,0.0155299708423708,144,"obama"
"7650","try",6,97,103,0.0150901443469926,97,"romney"
"3735","httpcouezhdrvz",0,63,63,0.0134382057609255,63,"romney"
"5239","nation",17,118,135,0.013341982290491,118,"romney"
"4842","manufacturing",50,0,50,0.0104899775446208,50,"obama"
"2064","elect",4,67,71,0.0102618978765934,67,"romney"
"1711","delivering",0,47,47,0.0100006560600718,47,"romney"
"1195","class",69,6,75,0.00943439784729683,69,"obama"
"4306","jobs",168,44,212,0.00932721652182322,168,"obama"
"4409","katyperry",42,0,42,0.00880082014717987,42,"obama"
"4740","lost",58,3,61,0.00879456994291128,58,"obama"
"7657","tuesday",28,113,141,0.00867757792502966,113,"romney"
"4797","madeinamerica",40,0,40,0.00837917675898647,40,"obama"
"7114","steven",39,0,39,0.00816845173308378,39,"obama"
"5008","middle",55,4,59,0.00795372770284009,55,"obama"
"6389","rickgorka",0,37,37,0.00786078501862919,37,"romney"
"506","barack",63,7,70,0.00763084105780631,63,"obama"
"81","added",36,0,36,0.00753666283680721,36,"obama"
"1958","dream",41,1,42,0.0071654119108131,41,"obama"
"7543","tonight",5,54,59,0.00715884154390123,54,"romney"
"965","care",59,7,66,0.00709533261385653,59,"obama"
"2612","futures",0,32,32,0.00679331315926057,32,"romney"
"6130","rally",25,98,123,0.00663311057258564,98,"romney"
"4308","joe",37,1,38,0.00655690996332203,37,"obama"
"2404","fight",55,1,56,0.00635462074128657,55,"obama"
"1519","crowd",6,51,57,0.00628578506601718,51,"romney"
"221","america",82,176,258,0.00608078754301933,176,"romney"
"6176","realdonaldtrump",6,49,55,0.0059261150331249,49,"romney"
"968","careers",1,33,34,0.00584773244314163,33,"romney"
"6675","sector",26,0,26,0.00543487111029717,26,"obama"
"3087","httpcoaebgba",25,0,25,0.00522504384758826,25,"obama"
"7110","steps",25,0,25,0.00522504384758826,25,"obama"
"7474","threes",25,0,25,0.00522504384758826,25,"obama"
"7515","tix",25,0,25,0.00522504384758826,25,"obama"
"6342","restore",37,3,40,0.00515009483055828,37,"obama"
"1491","credibility",24,0,24,0.00501528040657195,24,"obama"
"6228","reelect",24,0,24,0.00501528040657195,24,"obama"
"6174","real",19,72,91,0.00500827282618843,72,"romney"
"603","bet",49,3,52,0.0049636563553408,49,"obama"
"131","aguywithnolife",0,23,23,0.00487598165382064,23,"romney"
"615","betting",24,0,24,0.00480558074689497,24,"obama"
"2018","easy",28,1,29,0.00474805282586965,28,"obama"
"5480","office",161,203,364,0,203,"both"
"2069","election",125,156,281,0,156,"both"
"7751","unemployment",107,115,222,0,115,"both"
"950","cantaffordmore",99,109,208,0,109,"both"
"7501","time",68,129,197,0,129,"both"
"5708","people",111,72,183,0,111,"both"
"2030","economy",87,83,170,0,87,"both"
"6149","rate",77,71,148,0,77,"both"
"5070","mitt",51,82,133,0,82,"both"
"6542","sad",59,69,128,0,69,"both"
"6276","reminder",56,70,126,0,70,"both"
"4305","jobless",53,69,122,0,69,"both"
"231","americans",43,76,119,0,76,"both"
"6303","reppaulryan",38,80,118,0,80,"both"
"223","american",72,45,117,0,72,"both"
"7056","standstill",51,66,117,0,66,"both"
"7880","virtual",50,65,115,0,65,"both"
"6361","revenge",61,48,109,0,61,"both"
"2956","help",52,54,106,0,54,"both"
"924","campaign",74,30,104,0,74,"both"
"6574","sandy",50,50,100,0,50,"both"
"4747","love",25,69,94,0,69,"both"
"5810","please",41,51,92,0,51,"both"
"1622","days",49,40,89,0,49,"both"
"8051","win",35,42,77,0,42,"both"
"7845","via",26,50,76,0,50,"both"
"7904","voted",45,30,75,0,45,"both"
"5407","obama",56,18,74,0,56,"both"
"2611","future",38,34,72,0,38,"both"
"588","benghazi",44,24,68,0,44,"both"
"7913","voters",38,25,63,0,38,"both"
"4303","job",18,44,62,0,44,"both"
"4596","left",34,28,62,0,34,"both"
"577","believe",41,19,60,0,41,"both"
"3039","hope",36,23,59,0,36,"both"
"4722","look",27,32,59,0,32,"both"
"7324","tax",38,20,58,0,38,"both"
"2974","hey",25,32,57,0,32,"both"
"7230","support",26,31,57,0,31,"both"
"1243","cnn",18,37,55,0,37,"both"
"2635","gas",24,30,54,0,30,"both"
"1620","day",28,25,53,0,28,"both"
"4683","lives",17,36,53,0,36,"both"
"7348","teamromney",28,21,49,0,28,"both"
"5117","money",23,25,48,0,25,"both"
"5751","photo",27,21,48,0,27,"both"
"110","afford",16,29,45,0,29,"both"
"6538","ryan",28,17,45,0,28,"both"
"7048","stand",24,21,45,0,24,"both"
"4819","makes",11,33,44,0,33,"both"
