"","term","obama","romney","total","attr_importance","max","belong"
"2190","forward",423,45,468,0.0559503462205597,423,"obama"
"3373","httpcouyhqcds",0,188,188,0.0408711366390082,188,"romney"
"5770","reppaulryan",0,148,148,0.0317500501878432,148,"romney"
"5679","recovery",0,112,112,0.0240576755050839,112,"romney"
"1782","elect",1,94,95,0.0186561801902636,94,"romney"
"5917","romneyryan",18,149,167,0.0184902973633148,149,"romney"
"1498","deserve",3,98,101,0.0175205310925606,98,"romney"
"4925","nov",8,115,123,0.0173597977132491,115,"romney"
"3776","iraq",80,0,80,0.0169224656518216,80,"obama"
"1176","considering",0,77,77,0.016449710164272,77,"romney"
"1862","entered",0,77,77,0.016449710164272,77,"romney"
"5744","remembered",0,76,76,0.0162335609001052,76,"romney"
"5879","robdelaney",5,99,104,0.0161594358757751,99,"romney"
"7100","vagina",1,78,79,0.0152447690505995,78,"romney"
"5647","real",31,151,182,0.0140075225071044,151,"romney"
"7245","war",89,5,94,0.0133686231965586,89,"obama"
"6520","students",63,0,63,0.0132915598225065,63,"obama"
"194","america",86,245,331,0.0129837167062097,245,"romney"
"5209","paulryanvp",3,75,78,0.0127770041274333,75,"romney"
"2564","health",106,9,115,0.0123353344244339,106,"obama"
"6951","tuesday",6,79,85,0.012158612214578,79,"romney"
"836","care",79,7,86,0.0107990700920151,79,"obama"
"5674","record",64,4,68,0.00952908163044519,64,"obama"
"6165","share",64,4,68,0.00952908163044519,64,"obama"
"6658","tcot",25,110,135,0.00908518007525494,110,"romney"
"4014","kept",43,0,43,0.00904422788503356,43,"obama"
"5698","reform",42,0,42,0.00862092884597954,42,"obama"
"6397","springsteen",50,2,52,0.00837499871216152,50,"obama"
"1097","columbus",71,9,80,0.00833341641772645,71,"obama"
"391","backstage",38,0,38,0.0079864666050582,38,"obama"
"2525","hanging",38,0,38,0.0079864666050582,38,"obama"
"6644","tarikfreitekh",37,0,37,0.0077751087108815,37,"obama"
"1763","education",42,2,44,0.00760181198422205,42,"obama"
"1156","confirm",46,2,48,0.00757686211895114,46,"obama"
"6721","thanks",64,8,72,0.00755211165044067,64,"obama"
"199","americans",49,141,190,0.00742623054897074,141,"romney"
"1241","coverage",41,1,42,0.00739747465480822,41,"obama"
"2109","fired",42,1,43,0.00739747465480822,42,"obama"
"2491","guy",57,6,63,0.0072567909077601,57,"obama"
"242","anndromney",0,36,36,0.00721552979106921,36,"romney"
"723","bruce",40,1,41,0.00719337819089039,40,"obama"
"3843","jay",41,1,42,0.00719337819089039,41,"obama"
"3099","httpcomqrlgb",34,0,34,0.00714142300967313,34,"obama"
"7364","wisconsin",59,9,68,0.00712914056987879,59,"obama"
"642","borrow",39,1,40,0.00698953135496727,39,"obama"
"5925","rooting",0,32,32,0.00678900670473492,32,"romney"
"112","afford",59,8,67,0.00667545185676488,59,"obama"
"6890","track",1,37,38,0.00666115770156028,37,"romney"
"4580","middle",64,7,71,0.00659696864307491,64,"obama"
"4315","location",37,1,38,0.00658262507617979,37,"obama"
"1786","election",209,158,367,0,209,"both"
"7214","voting",147,172,319,0,172,"both"
"7348","win",79,81,160,0,81,"both"
"1229","country",67,92,159,0,92,"both"
"6566","support",44,83,127,0,83,"both"
"2582","help",70,52,122,0,70,"both"
"5241","people",65,49,114,0,65,"both"
"5038","ohio",70,38,108,0,70,"both"
"6807","time",41,50,91,0,50,"both"
"126","agree",57,33,90,0,57,"both"
"4357","love",22,64,86,0,64,"both"
"806","campaign",55,30,85,0,55,"both"
"4601","million",59,23,82,0,59,"both"
"5640","ready",41,35,76,0,41,"both"
"5327","please",44,31,75,0,44,"both"
"5611","rally",40,35,75,0,40,"both"
"7210","voters",53,19,72,0,53,"both"
"7382","women",51,20,71,0,51,"both"
"2262","future",18,52,70,0,52,"both"
"7192","voted",38,32,70,0,38,"both"
"4793","nation",37,32,69,0,37,"both"
"4287","live",43,19,62,0,43,"both"
"7136","via",19,43,62,0,43,"both"
"6651","tax",39,22,61,0,39,"both"
"1280","crowd",20,40,60,0,40,"both"
"3902","jobs",30,28,58,0,30,"both"
"4673","money",45,13,58,0,45,"both"
"5215","pay",51,7,58,0,51,"both"
"2091","final",42,13,55,0,42,"both"
"4333","looks",35,20,55,0,35,"both"
"4377","luck",38,14,52,0,38,"both"
"7267","watch",36,16,52,0,36,"both"
"7385","won",16,36,52,0,36,"both"
"2661","hope",27,23,50,0,27,"both"
"197","american",34,15,49,0,34,"both"
"7078","usa",22,27,49,0,27,"both"
"5024","office",16,30,46,0,30,"both"
"6419","stand",33,12,45,0,33,"both"
"6980","twitter",15,30,45,0,30,"both"
"817","candidate",32,11,43,0,32,"both"
"7184","volunteer",7,36,43,0,36,"both"
"1628","don",38,4,42,0,38,"both"
"4879","night",20,22,42,0,22,"both"
"5184","party",20,22,42,0,22,"both"
"2147","florida",25,16,41,0,25,"both"
"2227","friends",24,17,41,0,24,"both"
"7147","video",14,27,41,0,27,"both"
"395","bad",28,12,40,0,28,"both"
"1749","economy",24,15,39,0,24,"both"
"5363","polls",17,22,39,0,22,"both"
