"","term","obama","romney","total","attr_importance","max","belong"
"3123","httpcouyhqcds",0,170,170,0.0370737198355331,170,"romney"
"4885","paulryanvp",2,116,118,0.0223958933447632,116,"romney"
"5402","reppaulryan",1,107,108,0.0215748684096333,107,"romney"
"5537","romneyryan",8,129,137,0.020069615640145,129,"romney"
"2682","httpcobajevom",88,0,88,0.0187587135690193,88,"obama"
"6020","stayinline",85,0,85,0.0181107451294638,85,"obama"
"2127","forward",161,23,184,0.0180600724247031,161,"obama"
"3908","line",148,22,170,0.0157787755890504,148,"obama"
"201","america",76,254,330,0.0154120539431311,254,"romney"
"6221","teamobama",116,13,129,0.0146513944171716,116,"obama"
"1170","confirm",68,0,68,0.0144503787429973,68,"obama"
"1640","dont",6,91,97,0.0139637002344515,91,"romney"
"5495","robdelaney",0,56,56,0.0119950806060796,56,"romney"
"5292","real",4,101,105,0.0118290687523828,101,"romney"
"4142","matter",71,4,75,0.0111653655313835,71,"obama"
"1193","considering",0,51,51,0.0109156295282296,51,"romney"
"2115","forget",23,116,139,0.0107485241763481,116,"romney"
"6641","vagina",0,50,50,0.0106999405555639,50,"romney"
"2181","fuck",6,74,80,0.0106513025891593,74,"romney"
"1835","entered",0,49,49,0.0104843185626182,49,"romney"
"5377","remembered",0,49,49,0.0104843185626182,49,"romney"
"1247","country",36,136,172,0.0100142500740905,136,"romney"
"5303","realstaceydash",0,45,45,0.00962249952259531,45,"romney"
"262","anndromney",0,42,42,0.00897683641205105,42,"romney"
"5622","sashay",0,43,43,0.00897683641205105,43,"romney"
"5327","recovery",0,41,41,0.00876174870155166,41,"romney"
"2206","future",8,69,77,0.00862751689390273,69,"romney"
"1079","close",74,10,84,0.00847056591522843,74,"obama"
"6909","word",48,2,50,0.00802726714336832,48,"obama"
"2444","guy",58,5,63,0.00802544106659275,58,"obama"
"5294","realdonaldtrump",2,47,49,0.00792034036411882,47,"romney"
"5034","polls",94,37,131,0.00782994536466108,94,"obama"
"3036","httpcoqolvqf",37,0,37,0.0078251756971297,37,"obama"
"606","bitch",2,49,51,0.00771788866625478,49,"romney"
"3186","httpcoxtezawxk",35,0,35,0.00739991892973202,35,"obama"
"3191","httpcoydvibeej",35,0,35,0.00739991892973202,35,"obama"
"1245","counting",43,2,45,0.00702729516289802,43,"obama"
"6203","tcot",6,54,60,0.00685834185066714,54,"romney"
"6712","voice",48,4,52,0.00670692133199591,48,"obama"
"4866","path",0,31,31,0.00661452706468491,31,"romney"
"5337","reelect",31,0,31,0.00655019030316217,31,"obama"
"2166","friend",47,4,51,0.00651844868197404,47,"obama"
"4226","michelleobama",47,4,51,0.00651844868197404,47,"obama"
"5167","prosperity",0,30,30,0.00640016950794098,30,"romney"
"4610","obama",83,16,99,0.00622736001866819,83,"obama"
"740","brighter",0,29,29,0.00618587807303861,29,"romney"
"5571","rupaul",4,44,48,0.0060398836881026,44,"romney"
"4188","menhumor",0,28,28,0.00597165271753353,28,"romney"
"2374","grab",28,0,28,0.00591357931078096,28,"obama"
"2048","fired",37,2,39,0.00584014193211013,37,"obama"
"6738","voteobama",171,120,291,0,171,"both"
"6732","voted",141,116,257,0,141,"both"
"6750","voting",121,111,232,0,121,"both"
"221","amp",75,126,201,0,126,"both"
"1399","day",128,68,196,0,128,"both"
"2551","help",94,101,195,0,101,"both"
"5002","please",57,92,149,0,92,"both"
"6350","time",70,62,132,0,70,"both"
"2621","hope",57,72,129,0,72,"both"
"6272","thank",67,32,99,0,67,"both"
"856","campaign",68,24,92,0,68,"both"
"6776","waiting",60,31,91,0,60,"both"
"6871","wins",66,25,91,0,66,"both"
"4922","people",35,55,90,0,55,"both"
"4038","luck",64,25,89,0,64,"both"
"6397","tomorrow",24,64,88,0,64,"both"
"4298","mitt",29,57,86,0,57,"both"
"6914","world",26,58,84,0,58,"both"
"2168","friends",51,32,83,0,51,"both"
"4681","ohio",45,38,83,0,45,"both"
"744","bring",23,58,81,0,58,"both"
"353","ass",21,57,78,0,57,"both"
"4020","love",34,40,74,0,40,"both"
"1974","family",27,44,71,0,44,"both"
"2320","god",23,46,69,0,46,"both"
"6118","support",42,27,69,0,42,"both"
"5171","proud",28,37,65,0,37,"both"
"6746","votes",41,24,65,0,41,"both"
"5959","speech",32,32,64,0,32,"both"
"542","believe",37,24,61,0,37,"both"
"5288","ready",39,18,57,0,39,"both"
"2030","fight",32,23,55,0,32,"both"
"2567","hey",10,42,52,0,42,"both"
"3904","lilduval",17,32,49,0,32,"both"
"6672","via",29,20,49,0,29,"both"
"5033","polling",39,9,48,0,39,"both"
"1012","choice",37,8,45,0,37,"both"
"6519","twitter",31,14,45,0,31,"both"
"6745","voters",34,10,44,0,34,"both"
"210","americans",12,31,43,0,31,"both"
"2498","hard",30,13,43,0,30,"both"
"5223","que",23,19,42,0,23,"both"
"6247","tell",35,7,42,0,35,"both"
"5777","shit",14,27,41,0,27,"both"
"2334","gonna",6,34,40,0,34,"both"
"6682","victory",7,33,40,0,33,"both"
"6756","votos",12,28,40,0,28,"both"
"6848","white",22,18,40,0,22,"both"
"6017","stay",27,12,39,0,27,"both"
"6610","usa",27,12,39,0,27,"both"
