"","term","obama","romney","total","attr_importance","max","belong"
"5584","paulryanvp",6,166,172,0.0292438187842463,166,"romney"
"6336","romneyryan",20,185,205,0.023887822982418,185,"romney"
"4611","love",57,250,307,0.0201188932020939,250,"romney"
"7465","tuesday",20,161,181,0.0197529157338112,161,"romney"
"4503","lifetime",0,86,86,0.0181702765753866,86,"romney"
"3088","httpcoeyotll",0,68,68,0.0144979738214328,68,"romney"
"7890","wisconsin",82,4,86,0.0130830804654076,82,"obama"
"6995","student",61,0,61,0.0128734876797973,61,"obama"
"2048","eric",60,0,60,0.0126605002680322,60,"obama"
"2870","homelessness",60,0,60,0.0126605002680322,60,"obama"
"4461","letter",60,0,60,0.0126605002680322,60,"obama"
"5480","overcame",60,0,60,0.0126605002680322,60,"obama"
"6331","romneycentral",2,70,72,0.0125689913638403,70,"romney"
"230","america",59,203,262,0.0125318591657317,203,"romney"
"277","angelluisr",59,0,59,0.0124475785616409,59,"obama"
"3324","httpcolwkfhiay",59,0,59,0.0124475785616409,59,"obama"
"4541","live",63,40,103,0.0118993005161059,63,"obama"
"1565","deanstjames",0,54,54,0.0114882501464506,54,"romney"
"2374","forward",152,39,191,0.0111339473068799,152,"obama"
"3691","httpcowmmomlru",49,0,49,0.0103219660345659,49,"obama"
"7154","tcot",67,192,259,0.00992889119070428,192,"romney"
"6988","strong",6,70,76,0.00979709613685231,70,"romney"
"6974","story",70,6,76,0.00967290331572035,70,"obama"
"1203","college",66,5,71,0.00949358836289593,66,"obama"
"2778","hear",69,6,75,0.00948480297442211,69,"obama"
"2245","ferrell",45,0,45,0.00947355019221519,45,"obama"
"1633","democracy",44,0,44,0.00926160902835793,44,"obama"
"6177","reppaulryan",15,86,101,0.00858929031073097,86,"romney"
"2256","fighting",51,2,53,0.0085815876914801,51,"obama"
"6179","represent",3,80,83,0.00827796194198416,80,"romney"
"4781","mean",87,4,91,0.00820287791228158,87,"obama"
"6351","rooting",0,38,38,0.008064469562995,38,"romney"
"1211","colorado",4,53,57,0.00732494287563878,53,"romney"
"4303","kidding",34,0,34,0.00714576750756812,34,"obama"
"7675","virginia",68,11,79,0.00698177520026544,68,"obama"
"3731","httpcoxveakuf",33,0,33,0.00693453945806355,33,"obama"
"6049","realdonaldtrump",7,57,64,0.00687691773006405,57,"romney"
"4269","keder",0,32,32,0.00678489174516939,32,"romney"
"2411","friends",59,8,67,0.00668200753863446,59,"obama"
"1942","elect",2,40,42,0.00626973725014501,40,"romney"
"4994","monicacrowley",0,29,29,0.00614598581776016,29,"romney"
"5185","newsninja",0,29,29,0.00614598581776016,29,"romney"
"5936","ptus",0,28,28,0.00593314770914399,28,"romney"
"3256","httpcojuidrqeu",28,0,28,0.00587936710708181,28,"obama"
"3963","innovation",28,0,28,0.00587936710708181,28,"obama"
"4567","location",28,0,28,0.00587936710708181,28,"obama"
"7049","supposed",37,2,39,0.0058067849664396,37,"obama"
"6335","romneyroadteam",0,27,27,0.00572037479808896,27,"romney"
"3606","httpcotyfolwf",27,0,27,0.00566852592932809,27,"obama"
"4185","join",5,45,50,0.00566673558621966,45,"romney"
"7728","voting",150,189,339,0,189,"both"
"254","amp",169,166,335,0,169,"both"
"5386","ohio",72,112,184,0,112,"both"
"999","change",92,64,156,0,92,"both"
"5620","people",72,76,148,0,76,"both"
"6232","revenge",55,84,139,0,84,"both"
"7316","time",63,76,139,0,76,"both"
"6007","rally",41,83,124,0,83,"both"
"1548","days",52,69,121,0,69,"both"
"7871","win",55,57,112,0,57,"both"
"5373","office",42,62,104,0,62,"both"
"5788","power",49,55,104,0,55,"both"
"891","campaign",57,46,103,0,57,"both"
"7042","support",32,68,100,0,68,"both"
"556","believe",66,25,91,0,66,"both"
"908","cantaffordmore",36,54,90,0,54,"both"
"7708","voted",51,39,90,0,51,"both"
"2798","help",56,25,81,0,56,"both"
"6444","sandy",45,36,81,0,45,"both"
"7538","unemployment",40,41,81,0,41,"both"
"5551","party",23,55,78,0,55,"both"
"574","benghazi",51,23,74,0,51,"both"
"236","american",33,40,73,0,40,"both"
"239","americans",28,45,73,0,45,"both"
"4165","jobs",31,42,73,0,42,"both"
"7658","video",27,44,71,0,44,"both"
"2888","hope",29,37,66,0,37,"both"
"7813","weekend",48,15,63,0,48,"both"
"2812","hey",21,38,59,0,38,"both"
"4529","lissmith",15,42,57,0,42,"both"
"7230","thanks",21,34,55,0,34,"both"
"5273","november",41,12,53,0,41,"both"
"5713","please",26,27,53,0,27,"both"
"2561","god",11,40,51,0,40,"both"
"4038","israel",30,21,51,0,30,"both"
"6047","real",19,31,50,0,31,"both"
"1545","day",27,22,49,0,27,"both"
"6065","reason",38,10,48,0,38,"both"
"2599","gotv",37,10,47,0,37,"both"
"4443","left",34,13,47,0,34,"both"
"7586","usa",20,27,47,0,27,"both"
"7722","voters",31,16,47,0,31,"both"
"7912","women",21,26,47,0,26,"both"
"1159","clinton",30,16,46,0,30,"both"
"4889","milwaukee",30,16,46,0,30,"both"
"1908","economy",25,20,45,0,25,"both"
"5662","photo",16,29,45,0,29,"both"
"7646","via",19,26,45,0,26,"both"
"2269","final",20,23,43,0,23,"both"
"7229","thank",24,19,43,0,24,"both"
