"","term","obama","romney","total","attr_importance","max","belong"
"6612","romneycentral",0,98,98,0.0209342489612521,98,"romney"
"7514","tcot",60,213,273,0.0145877083284238,213,"romney"
"2417","fight",73,2,75,0.0131541539466711,73,"obama"
"6624","romneyryan",18,117,135,0.0126335519786909,117,"romney"
"5134","mikebloomberg",70,2,72,0.0125340086452568,70,"obama"
"5799","paulryanvp",14,106,120,0.0124027544579079,106,"romney"
"451","bad",3,76,79,0.0123140562724742,76,"romney"
"6373","reelection",71,3,74,0.0119178197911429,71,"obama"
"8213","wedecide",55,0,55,0.0116778735385792,55,"obama"
"5032","mayor",63,2,65,0.0110937330165808,63,"obama"
"6019","powell",51,0,51,0.010608075745864,51,"obama"
"1230","colin",48,0,48,0.0101806190101252,48,"obama"
"524","bay",52,1,53,0.00973650170771334,52,"obama"
"7554","term",52,1,53,0.00973650170771334,52,"obama"
"8298","wisconsin",75,9,84,0.00962903612190558,75,"obama"
"2557","forward",90,14,104,0.0096072948487036,90,"obama"
"6578","robdelaney",15,91,106,0.00937203246307106,91,"romney"
"3511","httpcokxnyw",0,42,42,0.00889441279262781,42,"romney"
"2825","green",57,5,62,0.0084504542123045,57,"obama"
"2292","experience",0,37,37,0.00782954475001874,37,"romney"
"8080","vision",41,1,42,0.00745940972645931,41,"obama"
"5199","mitt",32,114,146,0.00732578361941738,114,"romney"
"5669","originalspin",34,0,34,0.00719578680068622,34,"obama"
"6374","reelects",34,0,34,0.00719578680068622,34,"obama"
"2429","film",33,0,33,0.00698307590023317,33,"obama"
"7006","singlehandedly",33,0,33,0.00698307590023317,33,"obama"
"2067","edwardnorton",32,0,32,0.00677043029646662,32,"obama"
"3428","httpcohyoxabcu",32,0,32,0.00677043029646662,32,"obama"
"5147","miller",31,0,31,0.00655784994768549,31,"obama"
"698","bloombergtv",36,1,37,0.0064335282321597,36,"obama"
"591","bennett",30,0,30,0.00634533481223265,30,"obama"
"1626","deanstjames",0,30,30,0.00634147547605313,30,"romney"
"787","breaking",44,4,48,0.00597652597225262,44,"obama"
"2330","failed",44,4,48,0.00597652597225262,44,"obama"
"6504","retired",28,0,28,0.00592050001488276,28,"obama"
"2666","gay",0,28,28,0.0059168994993859,28,"romney"
"1104","choice",45,5,50,0.00564260444663778,45,"obama"
"696","bloomberg",42,4,46,0.00560440431001163,42,"obama"
"2151","endorses",92,28,120,0.00559981962297518,92,"obama"
"2724","giving",41,4,45,0.00541937137073467,41,"obama"
"2445","fired",38,3,41,0.00541251028373413,38,"obama"
"2766","gop",31,98,129,0.00539599248597722,98,"romney"
"3826","httpcouauonfm",25,0,25,0.00528373587973019,25,"obama"
"6116","produced",25,0,25,0.00528373587973019,25,"obama"
"3319","httpcoextm",24,0,24,0.00507161115172861,24,"obama"
"4512","katyperry",24,0,24,0.00507161115172861,24,"obama"
"4655","latinas",0,24,24,0.00506852761673149,24,"romney"
"6164","proudofobama",23,0,23,0.00485955134660121,23,"obama"
"7828","truthteam",23,0,23,0.00485955134660121,23,"obama"
"3226","httpcoclebdmr",0,23,23,0.00485659691932194,23,"romney"
"2094","election",131,112,243,0,131,"both"
"8130","voting",144,91,235,0,144,"both"
"1039","change",98,84,182,0,98,"both"
"6732","sandy",51,94,145,0,94,"both"
"223","america",55,86,141,0,86,"both"
"6310","real",62,71,133,0,71,"both"
"583","benghazi",79,52,131,0,79,"both"
"3002","help",59,72,131,0,72,"both"
"1599","days",53,62,115,0,62,"both"
"5612","ohio",36,77,113,0,77,"both"
"1422","country",53,56,109,0,56,"both"
"5533","obama",74,30,104,0,74,"both"
"941","cantaffordmore",30,71,101,0,71,"both"
"118","afford",35,65,100,0,65,"both"
"8111","voted",38,61,99,0,61,"both"
"226","american",66,25,91,0,66,"both"
"916","campaign",47,42,89,0,47,"both"
"4415","jobs",29,58,87,0,58,"both"
"6305","ready",31,54,85,0,54,"both"
"8048","via",30,55,85,0,55,"both"
"7678","time",40,41,81,0,41,"both"
"561","believe",57,23,80,0,57,"both"
"5931","please",33,47,80,0,47,"both"
"7407","support",25,55,80,0,55,"both"
"8286","win",33,47,80,0,47,"both"
"954","care",57,21,78,0,57,"both"
"3099","hope",47,31,78,0,47,"both"
"2051","economy",19,58,77,0,58,"both"
"1597","day",37,35,72,0,37,"both"
"7540","tell",39,32,71,0,39,"both"
"2632","future",48,17,65,0,48,"both"
"6451","reppaulryan",47,17,64,0,47,"both"
"4016","httpcozjulxby",21,41,62,0,41,"both"
"7503","tax",38,24,62,0,38,"both"
"6140","promises",26,35,61,0,35,"both"
"8343","world",34,26,60,0,34,"both"
"5298","moving",12,47,59,0,47,"both"
"229","americans",35,23,58,0,35,"both"
"822","broken",24,34,58,0,34,"both"
"5876","photo",43,15,58,0,43,"both"
"1207","cnn",39,17,56,0,39,"both"
"1246","coloradans",22,33,55,0,33,"both"
"4874","love",25,30,55,0,30,"both"
"5248","money",24,31,55,0,31,"both"
"2402","fema",11,43,54,0,43,"both"
"1628","dear",32,21,53,0,32,"both"
"2661","gas",18,35,53,0,35,"both"
"3022","hey",20,33,53,0,33,"both"
"7874","twitter",23,30,53,0,30,"both"
"8187","watch",35,18,53,0,35,"both"
