"","term","obama","romney","total","attr_importance","max","belong"
"5818","paulryanvp",5,138,143,0.0241043882290159,138,"romney"
"8226","withdraw",123,4,127,0.021758678278732,123,"obama"
"250","americaforward",85,0,85,0.0180940704328478,85,"obama"
"6388","refuses",80,0,80,0.0170165119717243,80,"obama"
"3798","httpcotpfllz",78,0,78,0.0165859584057277,78,"obama"
"4235","intended",123,13,136,0.0159677886006446,123,"obama"
"5404","ncgop",0,74,74,0.0157544356777088,74,"romney"
"3956","httpcoxwsktdde",0,73,73,0.0155391318480014,73,"romney"
"156","agree",111,11,122,0.0147523985953066,111,"obama"
"1495","couples",1,72,73,0.0139263417065807,72,"romney"
"3054","hospital",1,72,73,0.0139263417065807,72,"romney"
"8029","visitation",1,72,73,0.0139263417065807,72,"romney"
"6627","romneyryan",10,100,110,0.0132486238693319,100,"romney"
"1772","denver",94,8,102,0.0131673290637591,94,"obama"
"6850","sex",2,73,75,0.0131521554387641,73,"romney"
"6069","pregnancies",81,5,86,0.0124712314847344,81,"obama"
"2858","gwenstefani",58,0,58,0.0122951027057219,58,"obama"
"1243","claims",84,7,91,0.0122277630587833,84,"obama"
"7984","vegas",72,3,75,0.0120921452840972,72,"obama"
"5864","perezhilton",1,60,61,0.0114043815556315,60,"romney"
"7188","started",0,50,50,0.0106055322571335,50,"romney"
"6477","repulsive",1,56,57,0.0105683097938434,56,"romney"
"6560","rights",9,82,91,0.0100501657502339,82,"romney"
"7061","solid",0,47,47,0.00996460260249843,47,"romney"
"7761","trending",0,47,47,0.00996460260249843,47,"romney"
"882","bring",6,72,78,0.00994972394586791,72,"romney"
"7062","solidly",0,46,46,0.00975109109722805,46,"romney"
"3221","httpcoekvqhs",1,50,51,0.00931911930876561,50,"romney"
"1490","country",18,97,115,0.00926663743533629,97,"romney"
"1131","chant",42,0,42,0.00888147923472093,42,"obama"
"2504","force",47,1,48,0.00867917429417875,47,"obama"
"604","bear",41,0,41,0.00866868588637559,41,"obama"
"6284","rape",143,47,190,0.00860783571635615,143,"obama"
"433","attacker",40,0,40,0.00845595794686149,40,"obama"
"1439","convention",2,53,55,0.0082458677248427,53,"romney"
"2427","fired",44,1,45,0.00805999647695432,44,"obama"
"5593","obviously",0,38,38,0.00804536381507304,38,"romney"
"1285","closet",0,37,37,0.00783244286925577,37,"romney"
"4290","isanyoneup",0,37,37,0.00783244286925577,37,"romney"
"7472","tcot",45,135,180,0.00764956615097945,135,"romney"
"1145","chasing",38,0,38,0.00760569944112666,38,"obama"
"3824","httpcoueqlavf",36,0,36,0.00760569944112666,36,"obama"
"8002","victims",45,3,48,0.00742618270645656,45,"obama"
"6534","richard",93,22,115,0.00730503253571735,93,"obama"
"6638","rooting",3,47,50,0.00714302153366364,47,"romney"
"2525","forward",70,12,82,0.00698542509261868,70,"obama"
"2701","glad",4,49,53,0.00691758200544279,49,"romney"
"1180","child",49,4,53,0.00690015918439735,49,"obama"
"7352","sun",39,1,40,0.00662328085015718,39,"obama"
"5798","past",43,3,46,0.00635305339318348,43,"obama"
"5272","mourdock",143,104,247,0,143,"both"
"6326","realdonaldtrump",75,143,218,0,143,"both"
"2726","god",137,77,214,0,137,"both"
"8058","voting",80,84,164,0,84,"both"
"5941","plan",74,37,111,0,74,"both"
"1681","debate",37,67,104,0,67,"both"
"5855","people",39,62,101,0,62,"both"
"5962","please",50,42,92,0,50,"both"
"7655","time",51,39,90,0,51,"both"
"6458","reppaulryan",28,61,89,0,61,"both"
"4403","jobs",46,42,88,0,46,"both"
"644","benghazi",50,35,85,0,50,"both"
"8044","voted",44,32,76,0,44,"both"
"1331","colorado",52,23,75,0,52,"both"
"7125","speech",24,48,72,0,48,"both"
"4829","look",40,27,67,0,40,"both"
"7256","stop",38,29,67,0,38,"both"
"8119","watch",45,20,65,0,45,"both"
"8203","win",23,41,64,0,41,"both"
"6324","real",15,48,63,0,48,"both"
"7696","tonight",35,28,63,0,35,"both"
"253","american",39,23,62,0,39,"both"
"256","americans",22,40,62,0,40,"both"
"995","campaign",34,26,60,0,34,"both"
"2973","hey",29,31,60,0,31,"both"
"7996","via",17,43,60,0,43,"both"
"2957","help",38,21,59,0,38,"both"
"8007","video",20,38,58,0,38,"both"
"6615","romnesia",36,19,55,0,36,"both"
"7792","trump",30,25,55,0,30,"both"
"4761","lies",14,40,54,0,40,"both"
"5469","night",26,26,52,0,26,"both"
"5563","obama",31,21,52,0,31,"both"
"6358","records",29,23,52,0,29,"both"
"1016","cantaffordmore",10,41,51,0,41,"both"
"7502","tell",33,16,49,0,33,"both"
"2682","getting",28,20,48,0,28,"both"
"4682","leadership",10,38,48,0,38,"both"
"4754","libya",28,17,45,0,28,"both"
"1010","candidate",13,28,41,0,28,"both"
"1187","china",13,28,41,0,28,"both"
"2061","economy",6,35,41,0,35,"both"
"4264","iowa",33,8,41,0,33,"both"
"8096","war",25,16,41,0,25,"both"
"8268","world",18,23,41,0,23,"both"
"2855","guy",17,23,40,0,23,"both"
"7804","try",28,12,40,0,28,"both"
"8054","voters",15,25,40,0,25,"both"
"1525","create",28,11,39,0,28,"both"
"4796","live",24,15,39,0,24,"both"
