"","term","obama","romney","total","attr_importance","max","belong"
"600","benghazi",249,37,286,0.027960334739241,249,"obama"
"1600","decency",0,113,113,0.024354301273509,113,"romney"
"642","bigot",0,110,110,0.0236965746981408,110,"romney"
"698","blight",0,109,109,0.0234774709053902,109,"romney"
"6009","qualities",0,109,109,0.0234774709053902,109,"romney"
"6153","reflect",0,109,109,0.0234774709053902,109,"romney"
"6972","statements",0,109,109,0.0234774709053902,109,"romney"
"3727","httpcovkbnmb",0,108,108,0.023258436236246,108,"romney"
"8073","zacharyquinto",2,114,116,0.0219117232126433,114,"romney"
"3930","human",2,109,111,0.0208431342566329,109,"romney"
"3991","imagine",85,2,87,0.0154988649439403,85,"obama"
"4213","jeep",0,68,68,0.0141208027023867,68,"romney"
"5628","paulryanvp",10,103,113,0.0139378112550965,103,"romney"
"1583","deanstjames",1,71,72,0.0138080192536316,71,"romney"
"1830","dmregister",2,83,85,0.01366319107144,83,"romney"
"4821","marcorubio",1,70,71,0.013595915316212,70,"romney"
"2064","endorsement",7,102,109,0.0133175656327886,102,"romney"
"6855","solve",1,67,68,0.0129603809505967,67,"romney"
"6182","relief",0,59,59,0.0126094782954609,59,"romney"
"1461","cross",0,58,58,0.0123938427777275,58,"romney"
"7216","tcot",109,273,382,0.0122414303346485,273,"romney"
"6133","redcross",0,57,57,0.0121782741223695,57,"romney"
"3489","httpcooepuxjmo",0,56,56,0.0119627722862063,56,"romney"
"1665","democrats",1,63,64,0.011903862036319,63,"romney"
"5100","movie",0,55,55,0.0117473372261017,55,"romney"
"1864","donating",1,58,59,0.0110612402140009,58,"romney"
"2005","efforts",1,58,59,0.0110612402140009,58,"romney"
"6508","sandy",5,72,77,0.0106308652436231,72,"romney"
"6132","red",3,64,67,0.010586856818918,64,"romney"
"2673","grabbing",50,0,50,0.0105164542917588,50,"obama"
"5712","pint",52,0,52,0.0105164542917588,52,"obama"
"6240","republicans",5,68,73,0.0100459458758166,68,"romney"
"7274","text",2,57,59,0.009939012279776,57,"romney"
"5647","pensacola",0,46,46,0.00981141951164055,46,"romney"
"6540","sayfie",0,46,46,0.00981141951164055,46,"romney"
"2213","failed",96,16,112,0.00969983372835537,96,"obama"
"137","agree",88,13,101,0.00953995795162088,88,"obama"
"2435","fox",2,55,57,0.00952962513715039,55,"romney"
"5439","ohio",14,86,100,0.00942563760547599,86,"romney"
"6729","shown",2,54,56,0.00932531860408692,54,"romney"
"2633","gop",51,166,217,0.00922807812737214,166,"romney"
"6400","romneyryan",21,102,123,0.00915183305481015,102,"romney"
"7548","tyleroakley",0,42,42,0.008952738517501,42,"romney"
"1433","crashed",42,0,42,0.0088230059875245,42,"obama"
"2423","forward",121,31,152,0.00876213352359234,121,"obama"
"4651","lissmith",1,47,48,0.0087575496263903,47,"romney"
"6607","seen",7,67,74,0.00874258034529296,67,"romney"
"4423","kissimmee",0,41,41,0.00873823381703387,41,"romney"
"7531","twice",48,1,49,0.00861527977070242,48,"obama"
"4539","leadership",9,68,77,0.00797077040467853,68,"romney"
"7778","voting",118,68,186,0,118,"both"
"2019","election",53,106,159,0,106,"both"
"5651","people",79,74,153,0,79,"both"
"7372","time",90,47,137,0,90,"both"
"2851","help",62,73,135,0,73,"both"
"7754","voted",75,46,121,0,75,"both"
"5004","mitt",38,79,117,0,79,"both"
"1400","country",54,43,97,0,54,"both"
"4263","jobs",41,56,97,0,56,"both"
"5102","moving",48,39,87,0,48,"both"
"244","american",28,58,86,0,58,"both"
"1987","economy",57,27,84,0,57,"both"
"5731","plan",31,48,79,0,48,"both"
"6228","reppaulryan",41,37,78,0,41,"both"
"4121","iowa",28,47,75,0,47,"both"
"6095","real",23,51,74,0,51,"both"
"808","bring",46,23,69,0,46,"both"
"1564","day",22,47,69,0,47,"both"
"7689","via",21,48,69,0,48,"both"
"7909","win",29,40,69,0,40,"both"
"2063","endorsed",47,21,68,0,47,"both"
"1567","days",40,22,62,0,40,"both"
"2605","god",25,36,61,0,36,"both"
"2871","hey",40,21,61,0,40,"both"
"2438","foxnews",26,33,59,0,33,"both"
"952","cantaffordmore",20,38,58,0,38,"both"
"7413","top",44,14,58,0,44,"both"
"2502","future",30,25,55,0,30,"both"
"2960","house",37,18,55,0,37,"both"
"968","care",35,19,54,0,35,"both"
"1177","class",39,15,54,0,39,"both"
"1220","cnn",33,21,54,0,33,"both"
"7823","watch",33,21,54,0,33,"both"
"930","campaign",16,37,53,0,37,"both"
"2471","friends",40,13,53,0,40,"both"
"1857","don",37,15,52,0,37,"both"
"7701","video",28,24,52,0,28,"both"
"7207","taxes",31,20,51,0,31,"both"
"7244","tell",21,30,51,0,30,"both"
"7281","thank",26,24,50,0,26,"both"
"2788","hard",38,11,49,0,38,"both"
"4753","lying",14,35,49,0,35,"both"
"4950","middle",33,16,49,0,33,"both"
"6953","stand",32,17,49,0,32,"both"
"6192","remember",39,9,48,0,39,"both"
"7966","woods",27,21,48,0,27,"both"
"1584","dear",33,13,46,0,33,"both"
"7497","truth",22,24,46,0,24,"both"
"5426","office",35,10,45,0,35,"both"
"578","believe",23,21,44,0,23,"both"
