"","term","obama","romney","total","attr_importance","max","belong"
"5564","proudofobama",117,1,118,0.0238359370325509,117,"obama"
"2292","forward",180,23,203,0.0226218170550478,180,"obama"
"1159","commander",144,7,151,0.0222835696099752,144,"obama"
"1013","chief",143,8,151,0.0213825963907084,143,"obama"
"3213","httpconotzhd",87,0,87,0.0187925817800618,87,"obama"
"2106","failed",113,6,119,0.0182703348960775,113,"obama"
"5227","paulryanvp",3,102,105,0.0181872185381959,102,"romney"
"4755","moving",121,9,130,0.0181193039089511,121,"obama"
"5209","past",98,3,101,0.0174868897583413,98,"obama"
"5339","plan",201,37,238,0.0166924257912893,201,"obama"
"5370","policies",128,15,143,0.0160807028647882,128,"obama"
"119","agree",120,16,136,0.0142708015283339,120,"obama"
"6005","romneyryan",18,116,134,0.0123458869143243,116,"romney"
"6904","tickets",54,0,54,0.01160448529295,54,"obama"
"6749","tcot",38,153,191,0.011526175119144,153,"romney"
"5017","ofaoh",53,0,53,0.011387819684,53,"obama"
"4517","math",52,0,52,0.0111712215304729,52,"obama"
"2776","hospital",1,59,60,0.0111392433834718,59,"romney"
"7300","visitation",1,58,59,0.0109310428868266,58,"romney"
"2293","forwardamerica",50,0,50,0.0107382274147751,50,"obama"
"2871","httpcocrofli",50,0,50,0.0107382274147751,50,"obama"
"4618","midnight",50,0,50,0.0107382274147751,50,"obama"
"5303","photo",82,9,91,0.0105861071033753,82,"obama"
"5977","rocks",0,50,50,0.0105623265199213,50,"romney"
"4822","nations",0,92,92,0.010349485569622,92,"romney"
"4409","machines",4,66,70,0.0101371027967812,66,"romney"
"4033","katyperry",47,0,47,0.0100892410648632,47,"obama"
"1308","couples",1,53,54,0.00989243330263445,53,"romney"
"459","bankrupt",63,4,67,0.00975976698241765,63,"obama"
"5756","red",1,52,53,0.00968521406816736,52,"romney"
"909","cars",51,1,52,0.00965414745049342,51,"obama"
"7056","trillion",44,0,44,0.0094408594580746,44,"obama"
"1636","dictators",0,44,44,0.00928626616913175,44,"romney"
"198","america",115,235,350,0.00907381906415572,235,"romney"
"2323","freed",0,43,43,0.00907381906415572,43,"romney"
"5856","repulsive",1,49,50,0.00906463298175875,49,"romney"
"1083","cleveland",51,2,53,0.00877054609173689,51,"obama"
"1750","don",60,12,72,0.00862892879989929,60,"obama"
"5989","romnesia",108,28,136,0.00829833036040983,108,"obama"
"7511","won",90,18,108,0.00812706579071665,90,"obama"
"1610","detroit",72,10,82,0.00811957512988748,72,"obama"
"102","afford",106,27,133,0.00799845826470325,106,"obama"
"3950","john",37,0,37,0.0079303142406455,37,"obama"
"4421","magicjohnson",37,0,37,0.0079303142406455,37,"obama"
"6228","sex",3,51,54,0.00787180695662659,51,"romney"
"1634","dictated",1,43,44,0.00782876106343355,43,"romney"
"7607","zacharyquinto",0,37,37,0.0078005103306662,37,"romney"
"2922","httpcoekvqhs",1,42,43,0.00762353688478234,42,"romney"
"4748","move",55,5,60,0.00760420612665946,55,"obama"
"1147","colorado",2,46,48,0.00759649401429785,46,"romney"
"7319","vote",214,141,355,0,214,"both"
"5372","policy",97,62,159,0,97,"both"
"4879","night",92,62,154,0,92,"both"
"6960","tonight",97,55,152,0,97,"both"
"2275","foreign",77,71,148,0,77,"both"
"1473","debates",50,91,141,0,91,"both"
"7532","world",54,82,136,0,82,"both"
"200","american",94,38,132,0,94,"both"
"2490","gop",56,74,130,0,74,"both"
"880","cantaffordmore",36,88,124,0,88,"both"
"2689","help",71,48,119,0,71,"both"
"7470","win",45,72,117,0,72,"both"
"3942","jobs",55,59,114,0,59,"both"
"4213","leadership",59,48,107,0,59,"both"
"7332","voting",34,66,100,0,66,"both"
"6651","support",29,70,99,0,70,"both"
"5475","presidential",48,41,89,0,48,"both"
"5253","people",55,33,88,0,55,"both"
"4347","look",46,40,86,0,46,"both"
"1117","cnn",53,20,73,0,53,"both"
"5036","ohio",16,57,73,0,57,"both"
"872","candidate",38,33,71,0,38,"both"
"1304","country",39,31,70,0,39,"both"
"5354","please",31,39,70,0,39,"both"
"5842","reppaulryan",17,50,67,0,50,"both"
"861","campaign",37,29,66,0,37,"both"
"3941","job",42,24,66,0,42,"both"
"6003","romneyresponse",17,47,64,0,47,"both"
"6910","time",39,25,64,0,39,"both"
"7275","via",19,42,61,0,42,"both"
"1392","cuts",41,18,59,0,41,"both"
"2707","hey",19,40,59,0,40,"both"
"4364","lost",32,25,57,0,32,"both"
"5710","real",25,32,57,0,32,"both"
"7368","war",45,12,57,0,45,"both"
"1856","earth",24,32,56,0,32,"both"
"6829","thedemocrats",34,22,56,0,34,"both"
"204","americans",36,19,55,0,36,"both"
"4819","nation",15,38,53,0,38,"both"
"5010","ofafl",32,21,53,0,32,"both"
"7388","watch",31,22,53,0,31,"both"
"2194","fire",37,14,51,0,37,"both"
"4089","king",38,13,51,0,38,"both"
"832","buy",20,29,49,0,29,"both"
"1910","elections",25,23,48,0,25,"both"
"6177","secure",36,12,48,0,36,"both"
"7551","wrong",24,24,48,0,24,"both"
"4964","obama",30,17,47,0,30,"both"
"5395","poll",16,31,47,0,31,"both"
"1022","china",19,27,46,0,27,"both"
