"","term","obama","romney","total","attr_importance","max","belong"
"5540","paulryanvp",4,138,142,0.026070053802953,138,"romney"
"6358","romneyryan",5,135,140,0.0245292441506824,135,"romney"
"585","benghazi",237,33,270,0.0220100909646597,237,"obama"
"145","agree",119,8,127,0.0189554613647194,119,"obama"
"7537","tyleroakley",0,78,78,0.0173579134281077,78,"romney"
"121","afford",86,4,90,0.0148831633916626,86,"obama"
"6807","solve",1,72,73,0.0145446652061758,72,"romney"
"3073","httpcoestrqv",0,62,62,0.0137616257476572,62,"romney"
"6196","republicans",5,81,86,0.0130509910475369,81,"romney"
"6536","seen",5,81,86,0.0130509910475369,81,"romney"
"2380","forward",142,30,172,0.0127421727564081,142,"obama"
"1649","democrats",5,77,82,0.0122286754589349,77,"romney"
"4099","jeep",5,76,81,0.0112718453958516,76,"romney"
"221","america",53,174,227,0.0107768759385514,174,"romney"
"2687","gtgtgtgt",48,0,48,0.0106640596326124,48,"obama"
"3422","httpcoozwwc",48,0,48,0.0106640596326124,48,"obama"
"5164","nevasettle",48,0,48,0.0106640596326124,48,"obama"
"2185","failed",71,6,77,0.0104307212925703,71,"obama"
"1046","change",16,99,115,0.0102673230241415,99,"romney"
"7166","tcot",70,190,260,0.00962588871385828,190,"romney"
"6356","romneyresponse",7,68,75,0.00923176293124039,68,"romney"
"1752","disaster",46,1,47,0.00889617385488317,46,"obama"
"4339","kurorekisina",40,0,40,0.00887528636757873,40,"obama"
"5923","ptus",1,46,47,0.00886438808790069,46,"romney"
"6066","reason",8,68,76,0.00871439864621193,68,"romney"
"1430","crashed",44,1,45,0.00846293935567433,44,"obama"
"6595","severely",42,1,43,0.00803063554707739,42,"obama"
"7504","truthzone",36,0,36,0.00798262800235738,36,"obama"
"1571","deanstjames",0,36,36,0.00795726175871847,36,"romney"
"1618","defiance",0,37,37,0.00751278320998328,37,"romney"
"7784","washington",33,75,108,0.00751278320998328,75,"romney"
"5057","mtv",42,1,43,0.00738406205220099,42,"obama"
"6914","standdown",39,1,40,0.00738406205220099,39,"obama"
"4448","lenadunham",43,2,45,0.00738088838451501,43,"obama"
"1123","chrysler",1,39,40,0.00714298737761387,39,"romney"
"7428","track",1,38,39,0.00714298737761387,38,"romney"
"7705","views",45,3,48,0.00707915674068849,45,"obama"
"1338","continue",31,0,31,0.00686841915189551,31,"obama"
"3496","httpcorgnjibr",31,0,31,0.00686841915189551,31,"obama"
"4556","location",31,0,31,0.00686841915189551,31,"obama"
"1100","china",4,47,51,0.00682366309533022,47,"romney"
"2078","eric",31,0,31,0.00664579211627969,31,"obama"
"173","alesandrotweets",0,30,30,0.00662468182148035,30,"romney"
"4716","married",0,30,30,0.00662468182148035,30,"romney"
"2590","gonna",2,39,41,0.00652237725870264,39,"romney"
"2831","highly",34,1,35,0.00631211222062067,34,"obama"
"6078","recommend",34,1,35,0.00631211222062067,34,"obama"
"1249","commit",1,34,35,0.00628886506780568,34,"romney"
"1093","chief",28,0,28,0.00620075239698958,28,"obama"
"3803","huge",2,37,39,0.00611033697582575,37,"romney"
"1981","election",80,105,185,0,105,"both"
"7735","voted",85,61,146,0,85,"both"
"4913","mitt",75,68,143,0,75,"both"
"4141","jobs",56,77,133,0,77,"both"
"5574","people",56,69,125,0,69,"both"
"7357","time",74,45,119,0,74,"both"
"808","bring",47,62,109,0,62,"both"
"5030","moving",65,33,98,0,65,"both"
"5664","plan",67,31,98,0,67,"both"
"7859","white",66,31,97,0,66,"both"
"224","americans",55,40,95,0,55,"both"
"2809","help",64,29,93,0,64,"both"
"7064","support",33,60,93,0,60,"both"
"223","american",45,45,90,0,45,"both"
"1943","economy",59,31,90,0,59,"both"
"5199","night",44,40,84,0,44,"both"
"7685","via",32,49,81,0,49,"both"
"5685","please",39,39,78,0,39,"both"
"2825","hey",42,33,75,0,42,"both"
"7697","video",27,45,72,0,45,"both"
"6052","realdonaldtrump",19,52,71,0,52,"both"
"7155","tax",22,46,68,0,46,"both"
"2887","hope",26,41,67,0,41,"both"
"931","campaign",18,44,62,0,44,"both"
"1553","day",33,29,62,0,33,"both"
"7885","win",28,34,62,0,34,"both"
"6185","reppaulryan",25,35,60,0,35,"both"
"6600","sexual",16,42,58,0,42,"both"
"6911","stand",43,15,58,0,43,"both"
"7931","woods",14,44,58,0,44,"both"
"972","care",33,22,55,0,33,"both"
"5765","powell",39,15,54,0,39,"both"
"1186","cnn",36,16,52,0,36,"both"
"4576","look",38,13,51,0,38,"both"
"5168","news",35,16,51,0,35,"both"
"567","believe",36,14,50,0,36,"both"
"1215","colin",37,11,48,0,37,"both"
"2453","future",19,29,48,0,29,"both"
"7542","tyrone",10,38,48,0,38,"both"
"5097","myfirsttime",17,29,46,0,29,"both"
"6992","story",37,9,46,0,37,"both"
"6981","stop",22,23,45,0,23,"both"
"4602","love",18,26,44,0,26,"both"
"22","abc",35,8,43,0,35,"both"
"1147","claim",31,11,42,0,31,"both"
"1572","dear",18,24,42,0,24,"both"
"4494","lied",9,33,42,0,33,"both"
"5048","msnbc",35,7,42,0,35,"both"
"6958","stevens",10,32,42,0,32,"both"
"1096","children",16,25,41,0,25,"both"
