"","term","obama","romney","total","attr_importance","max","belong"
"2615","health",192,4,196,0.0316900787348626,192,"obama"
"5975","romneyryan",4,144,148,0.0265173798087988,144,"romney"
"908","care",192,13,205,0.0252188850375121,192,"obama"
"1529","decisions",120,1,121,0.0239789786874356,120,"obama"
"6605","sun",179,0,179,0.023154482220985,179,"obama"
"216","americaforward",114,2,116,0.0215741623352095,114,"obama"
"1005","chasing",161,0,161,0.0190619131257601,161,"obama"
"6731","tcot",38,192,230,0.0182287421426974,192,"romney"
"5200","paulryanvp",18,142,160,0.017359317593276,142,"romney"
"6296","sitting",84,1,85,0.016328762102517,84,"obama"
"6929","tomthewanted",77,0,77,0.0162756991090616,77,"obama"
"1728","don",83,1,84,0.0161181231549652,83,"obama"
"1121","colin",157,30,187,0.0146649320279935,157,"obama"
"3322","httpcoricbye",68,0,68,0.0143533696917164,68,"obama"
"6267","sign",62,0,62,0.0130747932615773,62,"obama"
"5901","richmond",57,0,57,0.0120111240830407,57,"obama"
"6194","severely",56,0,56,0.0117985873226465,56,"obama"
"7181","vegas",74,5,79,0.0110073795760195,74,"obama"
"1042","choose",63,2,65,0.0109894014782643,63,"obama"
"1064","citing",52,0,52,0.0109490957934477,52,"obama"
"5677","real",8,78,86,0.0106698573278201,78,"romney"
"3303","httpcoqndhkphh",46,0,46,0.00967682041767715,46,"obama"
"5347","politician",52,1,53,0.0096500821440757,52,"obama"
"4745","moveon",0,44,44,0.00941831240008306,44,"romney"
"2059","eye",44,0,44,0.00925325046450332,44,"obama"
"1666","disaster",49,1,50,0.00903173568074744,49,"obama"
"2526","grow",0,42,42,0.00898743257732404,42,"romney"
"6701","tampa",53,2,55,0.00896766914686631,53,"obama"
"7009","trip",42,0,42,0.00882994087456956,42,"obama"
"7110","understands",0,41,41,0.00877209263413126,41,"romney"
"4165","larrykudlow",0,40,40,0.00855681927916008,40,"romney"
"5584","qualified",0,40,40,0.00855681927916008,40,"romney"
"7219","views",50,2,52,0.00836619193150789,50,"obama"
"1223","conservative",58,4,62,0.00835839982467967,58,"obama"
"1563","deliver",0,39,39,0.00834161246953768,39,"romney"
"5712","recovery",0,39,39,0.00834161246953768,39,"romney"
"7130","uniquely",0,39,39,0.00834161246953768,39,"romney"
"5028","ohio",24,102,126,0.00825068677024388,102,"romney"
"488","banning",39,0,39,0.00819546394317316,39,"obama"
"1561","delighted",39,0,39,0.00819546394317316,39,"obama"
"7290","waiting",56,4,60,0.00816692060805768,56,"obama"
"261","announces",38,0,38,0.00798410145433759,38,"obama"
"2818","httpcocicyfgux",38,0,38,0.00798410145433759,38,"obama"
"4302","literally",43,1,44,0.00780031058166575,43,"obama"
"609","bill",65,9,74,0.00771125647276749,65,"obama"
"2460","gop",22,95,117,0.00762380851288436,95,"romney"
"4426","male",53,4,57,0.00759510011414699,53,"obama"
"2738","hours",52,4,56,0.00740541066658595,52,"obama"
"7267","votes",4,51,55,0.00739293476461933,51,"romney"
"5973","romneyroadteam",0,34,34,0.00726657510410234,34,"romney"
"4638","mitt",67,125,192,0,125,"both"
"7268","voting",77,76,153,0,77,"both"
"4732","mourdock",57,86,143,0,86,"both"
"6622","support",60,81,141,0,81,"both"
"5221","people",76,51,127,0,76,"both"
"547","believe",72,52,124,0,72,"both"
"3968","jobs",74,50,124,0,74,"both"
"870","campaign",43,77,120,0,77,"both"
"7255","voted",67,51,118,0,67,"both"
"1923","endorsed",72,39,111,0,72,"both"
"6890","time",56,54,110,0,56,"both"
"2434","god",53,54,107,0,54,"both"
"1483","day",53,45,98,0,53,"both"
"2635","help",36,59,95,0,59,"both"
"7383","white",61,34,95,0,61,"both"
"1925","endorses",40,54,94,0,54,"both"
"7410","win",30,62,92,0,62,"both"
"4957","obama",62,29,91,0,62,"both"
"5674","ready",31,56,87,0,56,"both"
"5342","policy",51,34,85,0,51,"both"
"1924","endorsement",54,29,83,0,54,"both"
"2260","foreign",50,33,83,0,50,"both"
"2346","future",25,56,81,0,56,"both"
"5304","plan",40,39,79,0,40,"both"
"5321","please",27,45,72,0,45,"both"
"219","american",46,24,70,0,46,"both"
"6534","stop",40,28,68,0,40,"both"
"1508","debate",16,51,67,0,51,"both"
"947","cbsthismorning",38,21,59,0,38,"both"
"1377","crowd",39,20,59,0,39,"both"
"2647","hey",24,34,58,0,34,"both"
"1314","country",14,43,57,0,43,"both"
"5680","realdonaldtrump",15,41,56,0,41,"both"
"2403","getting",38,17,55,0,38,"both"
"3809","intended",36,19,55,0,36,"both"
"5896","richard",24,29,53,0,29,"both"
"6789","thank",41,12,53,0,41,"both"
"7230","virginia",36,17,53,0,36,"both"
"889","cantaffordmore",15,37,52,0,37,"both"
"7154","usa",22,30,52,0,30,"both"
"7314","washington",35,17,52,0,35,"both"
"2588","hard",37,14,51,0,37,"both"
"4689","money",13,38,51,0,38,"both"
"561","benghazi",36,14,50,0,36,"both"
"4795","myfirsttime",28,21,49,0,28,"both"
"4889","night",35,14,49,0,35,"both"
"490","barack",26,22,48,0,26,"both"
"7465","workers",33,15,48,0,33,"both"
"4344","look",35,12,47,0,35,"both"
"988","change",10,36,46,0,36,"both"
