"","term","obama","romney","total","attr_importance","max","belong"
"5055","sashay",0,145,145,0.035729557774492,145,"romney"
"4037","niallofficial",111,0,111,0.0270899601172809,111,"obama"
"5167","sethmacfarlane",0,108,108,0.0264356233222829,108,"romney"
"4997","rupaul",11,149,160,0.0249288658504374,149,"romney"
"2584","httpcoihonudg",102,0,102,0.0248534765891784,102,"obama"
"1063","congratulations",140,14,154,0.0211068608351455,140,"obama"
"4376","paulryanvp",1,89,90,0.0200426951347357,89,"romney"
"3489","lilduval",1,79,80,0.0176108600990534,79,"romney"
"3564","lost",2,72,74,0.0143248002022549,72,"romney"
"851","champion",58,0,58,0.0140226178394205,58,"obama"
"6172","wey",58,0,58,0.0140226178394205,58,"obama"
"658","bro",3,65,68,0.012238370589114,65,"romney"
"961","cmon",49,0,49,0.0118279745097258,49,"obama"
"1055","congrats",74,6,80,0.0117577608547803,74,"obama"
"1992","fought",0,47,47,0.0113806420120666,47,"romney"
"6091","voteobama",53,1,54,0.0113158923396577,53,"obama"
"4133","obamabitchess",0,46,46,0.0111365452886785,46,"romney"
"5270","sit",0,46,46,0.0111365452886785,46,"romney"
"3611","mad",1,61,62,0.0108837875787222,61,"romney"
"5348","sorry",0,43,43,0.0104047705713664,43,"romney"
"3486","lil",0,42,42,0.0101610172734683,42,"romney"
"2308","happened",87,15,102,0.0099121494106913,87,"obama"
"604","boosie",0,40,40,0.00967376771269302,40,"romney"
"4852","reppaulryan",0,40,40,0.00967376771269302,40,"romney"
"3847","mitt",4,53,57,0.00950581679506146,53,"romney"
"4744","realstaceydash",1,44,45,0.00922562817318617,44,"romney"
"3545","look",7,63,70,0.00906749369924209,63,"romney"
"241","anndromney",0,36,36,0.00870029497788316,36,"romney"
"750","campaigned",41,1,42,0.0084852529932582,41,"obama"
"2261","gym",0,35,35,0.00845714026030264,35,"romney"
"3832","miss",0,35,35,0.00845714026030264,35,"romney"
"4184","okay",0,35,35,0.00845714026030264,35,"romney"
"3538","lol",8,62,70,0.0083237472766553,62,"romney"
"2034","fuck",2,45,47,0.00804642026573821,45,"romney"
"2192","governor",0,33,33,0.00797108654826895,33,"romney"
"5008","ryan",0,33,33,0.00797108654826895,33,"romney"
"1627","election",44,138,182,0.00755282275275548,138,"romney"
"749","campaign",5,51,56,0.00749496263608829,51,"romney"
"533","bitch",0,31,31,0.00748537338601785,31,"romney"
"1896","fight",2,40,42,0.00736478053534873,40,"romney"
"621","bowl",0,30,30,0.00724264435593058,30,"romney"
"2031","fruity",0,30,30,0.00724264435593058,30,"romney"
"4392","pebbles",0,30,30,0.00724264435593058,30,"romney"
"3500","listen",2,39,41,0.00713853681186127,39,"romney"
"4996","running",1,35,36,0.00711307196059363,35,"romney"
"5775","tonight",53,7,60,0.00697877612906339,53,"obama"
"5861","tweeted",0,28,28,0.00675744108818632,28,"romney"
"1068","congressman",0,27,27,0.00651496672688245,27,"romney"
"1645","elliott",0,27,27,0.00651496672688245,27,"romney"
"2877","hulk",0,27,27,0.00651496672688245,27,"romney"
"191","america",67,104,171,0,104,"both"
"2383","hey",75,71,146,0,75,"both"
"4627","proud",50,64,114,0,64,"both"
"6089","vote",22,68,90,0,68,"both"
"4400","people",31,57,88,0,57,"both"
"4055","night",44,38,82,0,44,"both"
"5374","speech",47,30,77,0,47,"both"
"5733","time",35,32,67,0,35,"both"
"6090","voted",19,42,61,0,42,"both"
"6237","won",21,40,61,0,40,"both"
"192","american",30,27,57,0,30,"both"
"3569","love",22,33,55,0,33,"both"
"5860","tweet",18,36,54,0,36,"both"
"5609","teamobama",40,13,53,0,40,"both"
"1285","day",10,42,52,0,42,"both"
"184","amazing",13,35,48,0,35,"both"
"2372","help",14,30,44,0,30,"both"
"5659","thanks",8,36,44,0,36,"both"
"6183","white",13,31,44,0,31,"both"
"2055","future",19,21,40,0,21,"both"
"5888","tyleroakley",16,24,40,0,24,"both"
"5876","twitter",12,27,39,0,27,"both"
"5989","usa",21,18,39,0,21,"both"
"2451","hope",15,22,37,0,22,"both"
"2465","house",10,27,37,0,27,"both"
"194","americans",8,28,36,0,28,"both"
"4474","please",13,23,36,0,23,"both"
"554","blame",1,33,34,0,33,"both"
"1865","feel",11,23,34,0,23,"both"
"3153","job",7,25,32,0,25,"both"
"4580","presidente",24,8,32,0,24,"both"
"6094","votes",4,27,31,0,27,"both"
"3546","looking",17,13,30,0,17,"both"
"374","bad",6,22,28,0,22,"both"
"2312","happy",18,10,28,0,18,"both"
"3898","moreyears",9,19,28,0,19,"both"
"4745","reason",18,10,28,0,18,"both"
"4129","obama",15,12,27,0,15,"both"
"732","call",9,17,26,0,17,"both"
"400","barack",12,13,25,0,13,"both"
"646","bright",11,14,25,0,14,"both"
"1927","fix",16,9,25,0,16,"both"
"5420","stay",18,7,25,0,18,"both"
"6166","welcome",22,3,25,0,22,"both"
"4690","race",5,19,24,0,19,"both"
"4778","reelection",18,3,21,0,18,"both"
"2274","haha",4,16,20,0,16,"both"
"3992","nation",3,17,20,0,17,"both"
"4351","party",7,13,20,0,13,"both"
"6136","watch",5,15,20,0,15,"both"
