"","term","obama","romney","total","attr_importance","max","belong"
"7035","robdelaney",1,131,132,0.0266283283816935,131,"romney"
"7084","romneyryan",18,185,203,0.0252834506116522,185,"romney"
"2679","forward",161,14,175,0.0227329672208763,161,"obama"
"920","busabusss",72,0,72,0.015327050748168,72,"obama"
"375","asap",0,71,71,0.0151488000381967,71,"romney"
"6234","paulryanvp",8,86,94,0.0117133478218741,86,"romney"
"6790","reasons",64,1,65,0.0116137316625113,64,"obama"
"1880","devil",54,0,54,0.0114633406433722,54,"obama"
"6825","reelect",73,5,78,0.0109267020799941,73,"obama"
"2446","failed",65,4,69,0.0107035946854264,65,"obama"
"2729","friends",91,13,104,0.0100102919240266,91,"obama"
"3577","httpcohmxpol",0,46,46,0.00977686197410255,46,"romney"
"4015","httpcotikxfffu",45,0,45,0.00953954935721302,45,"obama"
"6028","ohio",18,102,120,0.00945865025898507,102,"romney"
"4514","insurance",46,1,47,0.00848944055311329,46,"obama"
"6722","rally",0,40,40,0.00828015402211224,40,"romney"
"2932","govchristie",84,16,100,0.00784208665076802,84,"obama"
"414","attacking",1,45,46,0.0076847062413401,45,"romney"
"2892","god",82,17,99,0.00751941649355548,82,"obama"
"4637","jeep",2,49,51,0.0074630134842153,49,"romney"
"138","agree",60,7,67,0.00737875877934657,60,"obama"
"5951","obamacare",50,4,54,0.0071032394438364,50,"obama"
"5086","lie",4,52,56,0.00693671590452061,52,"romney"
"3792","httpconyiynfha",32,0,32,0.00677014930460995,32,"obama"
"3941","httpcormbulvjt",32,0,32,0.00677014930460995,32,"obama"
"1112","change",8,59,67,0.00676899171845635,59,"romney"
"6351","plan",87,22,109,0.00671218369816895,87,"obama"
"1724","deanstjames",0,31,31,0.00657357947771708,31,"romney"
"7082","romneyresponse",0,31,31,0.00657357947771708,31,"romney"
"8245","tried",31,0,31,0.00655757688075997,31,"obama"
"8770","won",55,7,62,0.00648438977456656,55,"obama"
"6600","protect",30,0,30,0.00634506972614113,30,"obama"
"3689","httpcokxnyw",0,29,29,0.00614759159328537,29,"romney"
"6289","peter",29,0,29,0.0061326277990692,29,"obama"
"5126","lissmith",0,28,28,0.00593469578322159,28,"romney"
"5422","medicaid",28,0,28,0.00592025105789928,28,"obama"
"7294","security",37,2,39,0.00585244350528802,37,"obama"
"559","basketball",27,0,27,0.00570793946102999,27,"obama"
"5499","mikebloomberg",32,1,33,0.0056163967438827,32,"obama"
"1573","crowd",0,26,26,0.00550910021844064,26,"romney"
"3122","health",45,4,49,0.00541546894544087,45,"obama"
"8513","video",23,81,104,0.00533710551320565,81,"romney"
"5457","messina",25,0,25,0.00528351153398887,25,"obama"
"6828","reelection",48,7,55,0.00526203079881382,48,"obama"
"8023","thanks",75,20,95,0.00509952671632696,75,"obama"
"6429","position",2,33,35,0.00508543858669763,33,"romney"
"769","bold",0,24,24,0.0050837657826639,24,"romney"
"871","brought",0,24,24,0.0050837657826639,24,"romney"
"2911","gop",42,112,154,0.00503383420831294,112,"romney"
"216","america",37,100,137,0.00487220910680985,100,"romney"
"232","amp",174,183,357,0,183,"both"
"7183","sandy",144,139,283,0,144,"both"
"2195","election",159,111,270,0,159,"both"
"3154","help",85,88,173,0,88,"both"
"2520","fema",52,93,145,0,93,"both"
"632","benghazi",98,42,140,0,98,"both"
"1689","day",88,38,126,0,88,"both"
"8121","time",50,74,124,0,74,"both"
"8565","voted",79,41,120,0,79,"both"
"972","campaign",50,69,119,0,69,"both"
"7865","support",49,68,117,0,68,"both"
"1690","days",68,47,115,0,68,"both"
"6263","people",71,43,114,0,71,"both"
"1005","cantaffordmore",35,73,108,0,73,"both"
"8580","voting",68,34,102,0,68,"both"
"5949","obama",68,32,100,0,68,"both"
"6914","reppaulryan",62,35,97,0,62,"both"
"6368","please",62,34,96,0,62,"both"
"8503","via",35,55,90,0,55,"both"
"8725","win",45,42,87,0,45,"both"
"1500","country",46,31,77,0,46,"both"
"6872","relief",25,52,77,0,52,"both"
"615","believe",55,18,73,0,55,"both"
"7957","taxes",47,25,72,0,47,"both"
"3043","halloween",27,39,66,0,39,"both"
"219","americans",32,32,64,0,32,"both"
"1938","disaster",28,36,64,0,36,"both"
"8660","week",47,17,64,0,47,"both"
"7981","teaparty",26,37,63,0,37,"both"
"1183","choice",41,21,62,0,41,"both"
"2468","family",44,17,61,0,44,"both"
"2931","gov",39,22,61,0,39,"both"
"5603","money",32,29,61,0,32,"both"
"6771","real",20,40,60,0,40,"both"
"6773","realdonaldtrump",21,39,60,0,39,"both"
"131","agenda",17,41,58,0,41,"both"
"2548","final",15,43,58,0,43,"both"
"1202","christie",37,20,57,0,37,"both"
"5089","lies",18,39,57,0,39,"both"
"5209","love",44,12,56,0,44,"both"
"7978","teamromney",17,39,56,0,39,"both"
"4333","hurricane",24,31,55,0,31,"both"
"6495","pres",35,19,54,0,35,"both"
"3168","hey",18,35,53,0,35,"both"
"7685","stand",22,31,53,0,31,"both"
"8766","women",43,10,53,0,43,"both"
"3239","hope",19,32,51,0,32,"both"
"963","call",35,14,49,0,35,"both"
"5173","look",17,31,48,0,31,"both"
"6410","poll",11,37,48,0,37,"both"
